init,20113,-21.02,-1.73,586.01
init,20115,-18.14,1.09,877.07
init,20117,20.84,1.72,585.54
init,20119,18.32,-1.08,875.89
Q31,20113,-27.31,-1.98,-165.65
Q31,20115,-24.13,1.26,165.65
Q31,20117,27.13,1.96,-165.66
Q31,20119,24.31,-1.24,165.66
Q32,20113,-5.85,2.12,-185.47
Q32,20115,0.11,-2.86,185.47
Q32,20117,5.67,-2.14,-185.48
Q32,20119,0.07,2.88,185.48
